filename,Ered,Ered_ag,SMILES,MPP_all(Angstrom),MPP_heavy(Angstrom)
234,1.59,-2.26,CCOc1cc(NC(C)C)c2nsnc2c1,0.947069,0.53473
235,1.42,-2.43,COc1cc2nsnc2c2c1CCCCN2,0.723365,0.374114
236,1.49,-2.36,CCNc1c(CC)c(C)cc2nsnc12,0.956551,0.60112
237,0.99,-2.86,CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,0.962147,0.590058
238,1.23,-2.62,CCOc1cc(NC(C)CC)c2nsnc2c1,0.926527,0.519736
239,1.43,-2.42,CCNc1c2c(cc3nsnc13)OCC(C)C2,0.755396,0.393933
240,1,-2.85,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,1.029982,0.643058
241,1.52,-2.33,CCN1c2c(ccc3nsnc23)CCC1C,0.697697,0.293857
242,1.35,-2.5,CCNc1cc(OC(C)CC)cc2nsnc12,1.002695,0.602361
243,1.12,-2.73,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,0.982739,0.585161
244,1.13,-2.72,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.866845,0.454223
245,1.1,-2.75,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,0.964,0.591258
246,1.41,-2.44,CNc1c2c(cc3nsnc13)OC(C)CC2,0.571339,0.15426
247,1.4,-2.45,CNc1c(C)c2c(c3nsnc13)CC(C)O2,0.597891,0.19034
248,1.22,-2.63,CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,0.987092,0.609568
249,1.06,-2.79,CCOCCN1CN(CC)c2cc3nsnc3cc21,0.775739,0.420276
250,1.09,-2.76,CCN1CN(CC)c2c1cc1nsnc1c2C,0.70641,0.312265
251,1.22,-2.63,CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.942068,0.540998
252,1.04,-2.81,CCCN1CN(CCC)c2cc3nsnc3cc21,0.716009,0.3442
253,1.44,-2.41,CCCc1c(C)cc2nsnc2c1NCC,0.945148,0.617224
254,1.25,-2.6,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.872337,0.451716
255,1.23,-2.62,CCCOc1cc(NC(C)C)c2nsnc2c1,0.873804,0.467875
256,1.04,-2.81,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.119709,0.672535
257,1.11,-2.74,CCCCN1CN(C)c2cc3nsnc3cc21,0.985148,0.619866
258,1.15,-2.7,CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.155952,0.861275
259,1.11,-2.74,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.05968,0.635933
260,1.34,-2.51,CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,0.885313,0.479402
261,1.05,-2.8,CCCN1CN(CCC)c2c1cc1nsnc1c2C,0.790266,0.397581
262,1.2,-2.65,CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.123283,0.734577
263,1.25,-2.6,CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.056969,0.624934
264,1.48,-2.37,CNc1c(N(C)C)c(C)cc2nsnc12,0.878787,0.464139
265,1.12,-2.73,CCN1CN(C)c2c1c(C)c1nsnc1c2C,0.763783,0.409762
266,1.07,-2.78,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,0.901979,0.518472
267,1.33,-2.52,CCN(C)c1cc(OC)cc2nsnc12,0.598806,0.232187
268,1.05,-2.8,CC(C)CN1CN(C)c2cc3nsnc3cc21,0.810123,0.427944
269,1.02,-2.83,CCCN1CN(C(C)C)c2cc3nsnc3cc21,0.858183,0.456624
270,1.11,-2.74,Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,0.876416,0.454235
271,1.24,-2.61,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,0.930158,0.51844
272,1.12,-2.73,CCCN1CN(C)c2c1cc1nsnc1c2C,0.851266,0.459494
273,1.38,-2.47,CNc1c2c(c(C)c3nsnc13)OCCC2,0.578923,0.166086
274,1.43,-2.42,CNc1c2c(cc3nsnc13)OCCC2C,0.782634,0.379991
275,1.37,-2.48,CCNc1c2c(cc3nsnc13)OC(C)C2C,0.982307,0.578559
276,1.13,-2.72,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,0.952867,0.534936
277,1.43,-2.42,CC1CNc2c(c3c(c4nsnc24)CCO3)C1,0.860681,0.430496
278,1.13,-2.72,CCNc1c2c(cc3nsnc13)N(CC)CN2C,0.822132,0.426387
279,1.12,-2.73,CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,0.987551,0.571178
