,SMILES,MPP(A),Ered_ag
27,CCCN1CCN(C(C)C)c2c1cc1nsnc1c2CC,1.317673,-2.47
28,CNc1c2c(cc3nsnc13)N(C)CCC2,0.580386,-2.5700000000000003
29,CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,1.254518,-2.48
30,CCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.086843,-2.62
31,CCCN1CCN(CC)c2c1cc1nsnc1c2C,1.059116,-2.62
32,CCCNc1c2c(cc3nsnc13)N(C)CCN2C,1.060719,-2.6100000000000003
33,CCNc1c2c(cc3nsnc13)N(C)CCN2CC,1.090705,-2.64
34,CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.045739,-2.6900000000000004
35,CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,1.337869,-2.67
36,CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.289883,-2.63
37,CCc1c2c(cc3nsnc13)N(CC)CCN2CC,1.166272,-2.6
38,CCN1CCN(CC)c2c1cc1nsnc1c2C,1.066479,-2.54
39,CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,1.23299,-2.68
40,CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,1.319503,-2.51
41,CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.018142,-2.66
42,CCN1CCN(C)c2cc3nsnc3c(C)c21,0.989981,-2.6100000000000003
43,CCCN1CCN(C)c2c1cc1nsnc1c2NC,0.882719,-2.62
44,COCCNc1c2c(cc3nsnc13)N(C)CCN2C,0.774576,-2.6900000000000004
45,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.203786,-2.56
46,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,1.242117,-2.68
47,CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,0.988016,-2.6900000000000004
48,CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.182605,-2.59
49,CNc1c2c(cc3nsnc13)N(C)CCN2C,0.801069,-2.6100000000000003
50,CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,1.221452,-2.74
51,CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,1.076716,-2.6900000000000004
52,CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,1.277099,-2.55
53,CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.454274,-2.6900000000000004
54,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,0.972502,-2.8
55,CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,1.05388,-2.55
56,CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,1.135331,-2.58
57,CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,1.072924,-2.87
58,CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,0.75173,-2.63
59,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,0.7658,-2.4400000000000004
60,CCN1CN(CCOC)c2c1cc1nsnc1c2C,1.012734,-2.83
61,CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.207192,-2.59
62,CCNc1cc(N(C)CC)cc2nsnc12,0.688444,-2.62
