sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_aromatic_rings,number_amide_bonds,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_spiro,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_C_O,fr_C_O_noCOO,fr_Al_OH,fr_Ar_OH,fr_methoxy,fr_oxime,fr_ester,fr_Al_COO,fr_Ar_COO,fr_COO,fr_COO2,fr_ketone,fr_ether,fr_phenol,fr_aldehyde,fr_quatN,fr_NH2,fr_NH1,fr_NH0,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_Imine,fr_nitrile,fr_hdrzine,fr_hdrzone,fr_nitroso,fr_N_O,fr_nitro,fr_azo,fr_diazo,fr_azide,fr_amide,fr_priamide,fr_amidine,fr_guanido,fr_Nhpyrrole,fr_imide,fr_isocyan,fr_isothiocyan,fr_thiocyan,fr_halogen,fr_alkyl_halide,fr_sulfide,fr_SH,fr_C_S,fr_sulfone,fr_sulfonamd,fr_prisulfonamd,fr_barbitur,fr_urea,fr_term_acetylene,fr_imidazole,fr_furan,fr_thiophene,fr_thiazole,fr_oxazole,fr_pyridine,fr_piperdine,fr_piperzine,fr_morpholine,fr_lactam,fr_lactone,fr_tetrazole,fr_epoxide,fr_unbrch_alkane,fr_bicyclic,fr_benzene,fr_phos_acid,fr_phos_ester,fr_nitro_arom,fr_nitro_arom_nonortho,fr_dihydropyridine,fr_phenol_noOrthoHbond,fr_Al_OH_noTert,fr_benzodiazepine,fr_para_hydroxylation,fr_allylic_oxid,fr_aryl_methyl,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_ketone_Topliss,fr_ArN,fr_HOCCN
3,3.054420000000001,82.52100000000004,276.14086764,32.260000000000005,11.97312355440259,6.905615339223127,5.36806731650176,3.981917734913476,2.9840236673142515,12.789620135330315,7.6359120825633475,5.896515004357416,4.524487585190551,3.5640965348456746,0.5714285714285714,-1.36,12.662581621944494,4.633086630205744,1.8726904319232185,117.90827996347788,1,2,0,0,0,5,0,5,2,3,2,0,0,19,0,4,102,0.1094208369589244,-0.3680838981247375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3,2.3976000000000006,82.71370000000005,277.136116608,44.290000000000006,11.766016773216045,6.5794943875197,5.209953433493344,3.7443794847632095,2.770236718523441,12.582513354143769,7.3097911308599235,5.738401121349,4.286949335040283,3.304666039596098,0.5384615384615384,-1.56,12.472616979119039,4.5218983341209835,1.816588524973801,117.09320003268931,1,2,0,0,0,6,1,6,2,3,2,0,0,19,1,5,102,0.12966011199125446,-0.38452750728719065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.7877000000000014,87.33070000000004,291.151766672,44.290000000000006,12.47312355440259,7.117499189980485,5.373475041319336,4.251225037329989,2.8713999605569347,13.289620135330315,7.847795933320706,5.9019227291749905,4.793794887607064,3.405829281629594,0.5714285714285714,-1.56,13.424313785563015,5.08698914389221,1.8981029309660788,123.45814214708594,1,2,0,1,0,6,1,6,2,3,3,0,0,20,1,5,108,0.129660456219608,-0.3845272336035247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.7877000000000014,87.33070000000004,291.151766672,44.290000000000006,12.473123554402592,7.140154559299523,5.490283519383255,3.847932875356483,2.8776553040976154,13.289620135330315,7.8704513026397445,6.018731207238911,4.3905027256335565,3.412084625170273,0.5714285714285714,-1.56,13.424313785563015,5.08698914389221,1.984487211997528,123.45814214708591,1,2,0,0,0,6,1,6,2,3,3,0,0,20,1,5,108,0.12967009535776522,-0.3817303237763999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.7893000000000012,87.35270000000006,291.151766672,44.290000000000006,12.30998684758606,7.250589678376494,5.179256896172633,3.869868644856037,2.749456446178713,13.126483428513787,7.980886421716717,5.7077045840282885,4.41243849513311,3.2838857672513715,0.5714285714285714,-1.56,13.424313785563015,5.438441930529301,2.0769056703600834,123.45814214708594,1,2,0,0,0,6,1,6,2,3,4,0,0,20,1,5,108,0.12967043432884015,-0.3814631237167511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,2.3992000000000004,82.73570000000005,277.136116608,44.290000000000006,11.602880066399512,6.689929506596672,4.909859232609136,3.6798953484343886,2.7461108695177225,12.419376647327239,7.420226249936893,5.438306920464791,4.222465198711463,3.2805401905903824,0.5384615384615384,-1.56,12.472616979119039,4.8454846386203565,1.9032044707347564,117.09320003268931,1,2,0,0,0,6,1,6,2,3,3,0,0,19,1,5,102,0.12966028521430242,-0.3845273684746949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2.645200000000001,87.28270000000003,291.151766672,44.290000000000006,12.47312355440259,7.030310774329635,5.869114008513496,3.754444156660588,2.5850015141805978,13.289620135330315,7.760607517669857,6.397561696369152,4.297014006937663,3.119430835253256,0.5714285714285714,-1.56,13.424313785563015,5.08698914389221,2.1759336816138286,123.45814214708594,1,2,0,0,0,6,1,6,2,3,3,0,0,20,1,5,108,0.1296704253503133,-0.3811951074000495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,2.8507000000000016,68.19600000000004,233.09866848,29.020000000000003,9.766396934908787,5.700919571419637,4.788022267695654,3.2788705916815317,2.708697096204649,10.582893515836515,6.431216314759859,5.316469955551308,3.835562604380024,3.2179206562726783,0.5,-1.16,10.023557980377001,3.417284360053293,1.3262615695303572,99.41856206448128,1,2,0,1,0,4,0,4,2,3,1,0,0,16,0,3,84,0.1063709613061412,-0.3657745475960248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.1778000000000004,91.94770000000004,305.167416736,44.290000000000006,13.180230335589139,7.655615339223127,5.775446348234901,4.106917734913475,3.168174181986002,13.996726916516865,8.385912082563348,6.303894036090558,4.649487585190551,3.702603503058661,0.6,-1.56,14.380319391846735,5.673993098045311,2.3108945108800896,129.82308426148253,1,2,0,0,0,6,1,6,2,3,4,0,0,21,1,5,114,0.12966029084846226,-0.38452736622311584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.3992000000000004,82.73570000000005,277.136116608,44.290000000000006,11.602880066399512,6.766050458300102,4.660594083884413,3.8137609062494033,2.8180590858458947,12.419376647327239,7.496347201640321,5.189041771740068,4.356330756526479,3.3524884069185537,0.5384615384615384,-1.5599999999999998,12.472616979119039,4.8454846386203565,1.816588524973801,117.09320003268934,1,2,0,0,0,6,1,6,2,3,3,0,0,19,1,5,102,0.1296602866990894,-0.38452736842045787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
