Index,smiles,complexity,atoms,DelE_red(V),MW
1210,CCc1c(C)c(OC)c2nsnc2c1C,8,15,1.52,222.0826841
1211,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,4,20,1.12,290.1565177
1212,CCOc1c2c(c(OCC)c3nsnc13)C1CCC2C1,4,20,1.5,290.1088988
1213,CCCNc1c2c(c(OCCC)c3nsnc13)C1CCC2C1,4,22,1.4,317.1561834
1214,CCc1c(OC)c(N(C)C)cc2nsnc12,7,16,1.45,237.0935831
1215,CCCCc1ccc2nsnc2c1CC,4,15,1.57,220.1034195
1216,Cc1c(N(C)C)c(N(C)C)cc2nsnc12,8,16,1.38,236.1095675
1217,CCOCCNc1c2c(c(OC)c3nsnc13)C1CCC2C1,5,22,1.42,319.1354479
1218,Cc1c2c(c(OCC(C)C)c3nsnc13)C1CCC2C1,4,20,1.43,288.1296343
1219,COc1c(C)c2c(c3nsnc13)CC(C)O2,6,16,1.52,236.0619486
1220,CCCOc1ccc(OC(C)C)c2nsnc12,4,17,1.61,252.0932488
1221,CCC(C)Nc1c2c(cc3nsnc13)OCCO2,2,18,1.49,265.0884977
1222,CC/C([O-])=[N+](\c1c2c(cc3nsnc13)C1CCC2C1)C(C)C,3,22,1.59,315.1405333
1223,CCN1CN(CC(C)C)c2c1cc1nsnc1c2C,6,19,1.1,276.1408676
1224,CCCCc1c2c(c(CC)c3nsnc13)OCCO2,4,19,1.4,278.1088988
1225,COC1CN(C)c2c1ccc1nsnc21,4,15,1.57,221.062283
1226,COc1c(C)cc(C)c2nsnc12,6,13,1.48,194.0513839
1227,CCCCc1cc(OC(C)C)c2nsnc2c1,4,17,1.64,250.1139842
1228,CCc1cc(NC)c2nsnc2c1OC,6,15,1.49,223.077933
1229,CCCc1cc2nsnc2cc1OC(C)C,4,16,1.5,236.0983341
1230,CCCCc1c2c(c(NC)c3nsnc13)OCCO2,5,19,1.37,279.1041478
1231,CCCN1CCN(C)c2cc3nsnc3c(NC(C)C)c21,6,21,1.18,305.1674167
1232,CNc1cc(N(C)C)c(OC)c2nsnc12,7,16,1.44,238.0888321
1234,CCNc1c2c(cc3nsnc13)C1CCC2CC1,2,18,1.42,259.1143185
1235,CC1CCc2c1c1c(c3nsnc23)NCC1C,4,17,1.48,245.0986685
1236,CCC(C)Nc1cccc2nsnc12,2,14,1.5,207.0830184
1237,CCc1c2c(c(N(CC)CC)c3nsnc13)C1CCC2C1,5,21,1.33,301.1612687
