Index,smiles,complexity,atoms,DelE_red(V),MW,btz,scaffold1,scaffold2,scaffold3,scaffold4,scaffold5
829,CCOCCc1c2c(c(NC)c3nsnc13)C1CCC2C1,5,21,1.37,303.1405333,1,0,0,0,1,0
830,CCCN1CCN(C)c2cc3nsnc3c(OC(C)C)c21,6,21,1.31,306.1514323,1,0,1,0,0,0
831,Cc1c2c(c(OCCN(C)C)c3nsnc13)C1CCC2C1,6,21,1.46,303.1405333,1,0,0,0,1,0
832,CCNc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,5,21,1.32,302.1565177,1,0,0,0,0,1
833,CCc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,8,19,1.1,276.1408676,1,1,0,0,0,0
834,CCC(C)C1COc2c(cc3nsnc3c2OC)O1,4,19,1.44,280.0881634,1,0,0,1,0,0
835,Cc1c2c(c(OC(C)C)c3nsnc13)OCCO2,4,18,1.47,266.0725133,1,0,0,1,0,0
836,COc1cc2nsnc2c2c1N(C)CCC2,5,16,1.45,235.077933,1,0,0,0,0,0
837,COc1c(N(C)C)ccc2nsnc12,5,14,1.67,209.062283,1,0,0,0,0,0
838,CCN(C)c1cc2nsnc2cc1C,5,14,1.52,207.0830184,1,0,0,0,0,0
839,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)CC(C)O2,4,17,1.65,249.0571976,1,0,0,0,0,0
840,CCC1COc2c(c(OC)c3nsnc3c2C)O1,6,18,1.49,266.0725133,1,0,0,1,0,0
841,COc1cc2nsnc2c2c1CCO2,4,14,1.51,208.0306485,1,0,0,0,0,0
842,CCc1cc2nsnc2c(NC)c1N(C)C,7,16,1.48,236.1095675,1,0,0,0,0,0
843,COCCc1c2c(c(C)c3nsnc13)C1CCC2C1,5,19,1.35,274.1139842,1,0,0,0,1,0
844,CCc1c2c(cc3nsnc13)N(C)CN2CC,6,17,1.04,248.1095675,1,1,0,0,0,0
845,CC1Cc2ccc3nsnc3c2N(C)C1,3,15,1.48,219.0830184,1,0,0,0,0,0
846,CCN1CC(C)c2c1ccc1nsnc21,3,15,1.46,219.0830184,1,0,0,0,0,0
847,CNc1cc(CC(C)C)cc2nsnc12,4,15,1.44,221.0986685,1,0,0,0,0,0
